handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
Pretzel,Benyapa,Tangkasemwiboon,active,,FS.P,"jett, raze, killjoy",458.0,0.95,200,0.97,65%,131.3,0.71,0.17,0.13,0.12,26%,7%,FALSE,Female,THAILAND,Thai,ap,valorant game changers
Valentine,Thun,Isabelle,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,X,"sova, jett, chamber",355.0,0.8,169.3,0.73,63%,111.5,0.57,0.23,0.09,0.08,23%,10%,FALSE,Female,SINGAPORE,English/Malay/Mandarin/Tamil,ap,valorant game changers
Tweeya,Tria Mae Manabat,Manos,active,,(+4),"omen, raze, viper",861.0,0.98,197.9,0.92,72%,129.9,0.67,0.4,0.05,0.07,18%,11%,FALSE,Female,PHILIPPINES,Filipino/English,ap,valorant game changers
showliana,Juiana Maransaldi,Canelas,active,http://static.lolesports.com/players/1632350286184_silhouette-female.png,KRï¿½ï¿½ï¿½,"Sova, Fade, Viper",2924.0,1.01,196.7,0.96,70%,130.2,0.68,0.32,0.07,0.07,22%,14%,TRUE,Female,Brazil,Portuguese,na,valorant game changers
sonder,Diana,Zhang,active,,FLY.R,"Raze, KAY/O, Gekko",7484.0,1.02,230.3,1.02,72%,148.4,0.77,0.34,0.16,0.16,22%,16%,FALSE,Female,China,Mandarin,na,valorant game changers
Maddie,Madison,Mann,active,http://static.lolesports.com/players/1681051519585_silhouette_transparent.png,FaZe,"Jett, Breach, Sova",2028.0,0.86,193.3,0.83,69%,127.2,0.66,0.28,0.09,0.13,25%,13%,FALSE,Female,United States,English,na,valorant game changers
jules,Julia,Dominguez,active,,YCHT,"Cypher, Killjoy, Viper",281.0,0.92,186.4,0.86,72%,132.4,0.64,0.2,0.05,0.06,29%,6%,FALSE,Female,Argentina,Spanish,na,valorant game changers
Alexe1337,Alexandra,Caron,active,http://static.lolesports.com/players/1632346386227_silhouette-female.png,22,"phoenix, reyna, brimstone",259.0,0.91,205.8,0.82,62%,133.5,0.66,0.28,0.09,0.14,20%,16%,FALSE,Female,CANADA,English/French,na,valorant game changers
zecK,Addison,Gorzeck,active,http://static.lolesports.com/players/1632364647068_silhouette-female.png,EG,"Omen, Sage, Brimstone",1008.0,0.8,180,0.83,65%,121.8,0.62,0.29,0.05,0.07,19%,9%,FALSE,Female,UNITED STATES,English,na,valorant game changers
bENITA,Benita,Novshadian,active,http://static.lolesports.com/players/1632349358887_silhouette-female.png,LIL,"Sova, Brimstone, Reyna",3859.0,0.94,193.7,0.89,69%,128.0,0.65,0.33,0.09,0.11,24%,18%,FALSE,Female,United States,English,na,valorant game changers
LunaFox,Luna,Ryan,active,http://static.lolesports.com/players/1632346940265_silhouette-female.png,KS,"Sova, Skye, Astra",3028.0,0.98,204.2,0.92,69%,140.6,0.68,0.34,0.08,0.1,25%,15%,FALSE,Female,United States,English,na,valorant game changers
Steph,Stephanie,Lee,active,http://static.lolesports.com/players/1632420557315_silhouette-female.png,T1A,"omen, phoenix, reyna",1806.0,0.93,187.9,0.89,67%,129.6,0.67,0.2,0.09,0.1,29%,13%,FALSE,Female,UNITED STATES,English,na,valorant game changers
peachtea,Grace,Zhou,active,http://static.lolesports.com/players/1632420605201_silhouette-female.png,TMV,"sova, breach, omen",740.0,0.77,150.6,0.69,64%,100.2,0.53,0.28,0.04,0.07,30%,8%,FALSE,Female,UNITED STATES,English,na,valorant game changers
Aika,Matsui,Ayami,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,FH,"jett, raze, kayo",2493.0,1.01,208.6,1.01,71%,135.5,0.73,0.26,0.11,0.13,23%,13%,FALSE,Female,Japan,Japanese,na,valorant game changers
mle,Emily,Peters,active,http://static.lolesports.com/players/1632364613002_silhouette-female.png,FLY.R,"Astra, Omen, Skye",3926.0,0.95,189.8,0.93,71%,124.6,0.66,0.29,0.09,0.1,24%,13%,FALSE,Female,CANADA,English/French,na,valorant game changers
athxna,Mirna,Noureldin,active,http://static.lolesports.com/players/1632364510185_silhouette-female.png,FLY.R,"Fade, Astra, Killjoy",3756.0,0.91,184.8,0.92,69%,121.9,0.66,0.29,0.08,0.1,28%,13%,FALSE,Female,Egypt,Arabic,na,valorant game changers
keenc,Chaspaul,Chahal,active,http://static.lolesports.com/players/1681050905628_silhouette_transparent.png,EG.GC,"Jett, Chamber, Raze",2064.0,1.4,291.4,1.57,78%,181.8,1.03,0.2,0.2,0.09,19%,18%,FALSE,Male,Canada,English/French,na,valorant game changers
emluo,Emily,Bach,active,http://static.lolesports.com/players/1681050831713_silhouette_transparent.png,PAW,"Killjoy, Chamber, Viper",3433.0,1.01,204.8,1.02,69%,136.4,0.73,0.19,0.11,0.1,34%,17%,FALSE,Female,United States,English,na,valorant game changers
