handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
Poiz,Michael,Possis,active,http://static.lolesports.com/players/1633548302085_silhouette.png,C9A,"jett, kayo, reyna",2625.0,1.07,221.7,1.11,71%,140.7,0.79,0.2,0.13,0.12,26%,22%,FALSE,Male,United States,English,na,valorant champions international
C0m,Corbin,Lee,active,http://static.lolesports.com/players/1646299576649_placeholder.png,LEV,"sova, viper, cypher",5712.0,1.03,195.9,1.02,72%,129.5,0.68,0.3,0.08,0.08,22%,17%,FALSE,Male,United States,English,na,valorant champions international
trent,Trent,Cairns,active,http://static.lolesports.com/players/1707175367018_TJO_VCT_BROADCAST_G2_trent_004.png,G2,"sova, viper, fade",6188.0,1.11,212.3,1.09,75%,142.1,0.73,0.32,0.08,0.08,28%,17%,FALSE,Male,United States,English,na,valorant champions international
BcJ,Brendan,Jensen,active,http://static.lolesports.com/players/silhouette.png,EG,"sova, omen, gekko",6387.0,1.04,201.4,1.03,75%,132.9,0.68,0.37,0.08,0.09,19%,15%,FALSE,Male,United States,English,na,valorant champions international
SicK,Hunter,Mims,active,http://static.lolesports.com/players/silhouette.png,SEN,"sage, phoenix, skye",5997.0,1.09,223.3,1.17,75%,142.4,0.79,0.3,0.11,0.1,24%,19%,FALSE,Male,United States,English,na,valorant champions international
Runi,Dylan,Kade,active,http://static.lolesports.com/players/1712218217692_SC_VCT_Broadcast_C9_Runi_001.png,C9,"sova, fade, breach",6841.0,1.08,202.8,1.03,74%,136.3,0.7,0.37,0.07,0.05,26%,13%,TRUE,Male,United States,English,na,valorant champions international
OXY,Francis,Hoang,active,http://static.lolesports.com/players/1707174702669_TJO_VCT_BROADCAST_C9_OXY_003.png,C9,"jett, raze, chamber",5352.0,1.07,246.6,1.12,70%,157.0,0.87,0.17,0.19,0.15,26%,13%,FALSE,Male,United States,English,na,valorant champions international
Temperature,Nolan,Pepper,active,http://static.lolesports.com/players/1633548859605_silhouette.png,DTL,"sova, omen, breach",5240.0,1.06,214,1.02,72%,142.7,0.74,0.33,0.08,0.08,27%,13%,FALSE,Male,United States,English,na,valorant champions international
JonahP,Jonah,Pulice,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,G2,"skye, sova, kayo",7740.0,1.03,201,1.03,74%,129.8,0.7,0.36,0.09,0.1,26%,16%,FALSE,Male,Canada,English/French,na,valorant champions international
JoshRT,Josh,Lee,active,http://static.lolesports.com/players/1707175251186_TJO_VCT_BROADCAST_G2_JoshRT_001.png,G2,"sova, breach, omen",946.0,0.63,168.4,0.76,65%,104.4,0.58,0.36,0.06,0.11,20%,10%,FALSE,Male,UNITED STATES,English,na,valorant champions international
Kaplan,Adam,Kaplan,active,http://static.lolesports.com/players/1707176620752_TJO_VCT_BROADCAST_SEN_Kaplan_004.png,SEN,"sova, omen, breach",588.0,0.95,147.6,0.75,76%,97.4,0.51,0.26,0.06,0.07,17%,21%,FALSE,Male,UNITED STATES,English,na,valorant champions international
zekken,Zachary,Patrone,active,http://static.lolesports.com/players/silhouette.png,SEN,"raze, sova, jett",8164.0,1.12,241,1.16,73%,156.5,0.83,0.27,0.15,0.12,23%,15%,FALSE,Male,United States,English,na,valorant champions international
YaBoiDre,Diondre,Bond,active,http://static.lolesports.com/players/1627509331421_silhouette.png,NYFU,"chamber, raze, omen",5010.0,1.05,219.3,1.05,71%,142.4,0.78,0.2,0.11,0.11,27%,12%,FALSE,Male,United States,English,na,valorant champions international
icy,Jacob,Lange,active,http://static.lolesports.com/players/1712295100410_SC_VCT_Broadcast_G2_icy_003.png,G2,"killjoy, raze, chamber",8399.0,0.97,202.3,0.96,69%,134.3,0.7,0.23,0.12,0.11,23%,16%,FALSE,Male,United States,English,na|oce,valorant champions international
Xeppaa,Erick,Bach,active,http://static.lolesports.com/players/1686715728070_C9_XEPPAA.png,C9,"kayo, skye, raze",5180.0,1.04,213.1,1.03,75%,137.7,0.73,0.39,0.08,0.08,22%,20%,FALSE,Male,United States,English,na,valorant champions international
valyn,Jacob,Batio,active,http://static.lolesports.com/players/1707175389059_TJO_VCT_BROADCAST_G2_valyn_006.png,G2,"astra, omen, viper",7806.0,1.02,202.3,1.01,75%,129.2,0.71,0.34,0.09,0.08,23%,17%,FALSE,Male,United States,English,na,valorant champions international
BlackHeart,Hasan,Hammad,active,http://static.lolesports.com/players/1678173866391_placeholder.png,MAD,"sova, fade, omen",5758.0,1.06,203.8,1.01,72%,135.8,0.7,0.35,0.07,0.06,26%,15%,FALSE,Male,Canada,English/French,na,valorant champions international
gMd,Anthony,Guimond,active,http://static.lolesports.com/players/silhouette.png,TSM,"omen, astra, breach",5595.0,1.04,203.6,1.02,73%,132.5,0.72,0.36,0.08,0.08,30%,16%,FALSE,Male,Canada,English/French,na,valorant champions international
xeppaa,Erick,Bach,active,http://static.lolesports.com/players/1633547834982_silhouette.png,C9,"kayo, skye, raze",5180.0,1.04,213.1,1.03,75%,137.7,0.73,0.39,0.08,0.08,22%,20%,FALSE,Male,United States,English,na,valorant champions international
Xeta,Seon-ho,Son,active,http://static.lolesports.com/players/1633548069823_silhouette.png,T1,"sova, breach, jett",3240.0,1.09,192.8,1.07,77%,126.0,0.67,0.34,0.05,0.06,22%,19%,FALSE,Male,South Korea,Korean,na,valorant champions international
NaturE,Nicholas,Garrison,active,http://static.lolesports.com/players/silhouette.png,EG,"sova, viper, breach",3414.0,1.05,198.8,1.01,73%,130.3,0.68,0.29,0.09,0.08,24%,13%,TRUE,Male,United States,English,na,valorant champions international
runi,Dylan,Kade,active,http://static.lolesports.com/players/1679382454902_placeholder.png,C9,"sova, fade, breach",6841.0,1.08,202.8,1.03,74%,136.3,0.7,0.37,0.07,0.05,26%,13%,TRUE,Male,United States,English,na,valorant champions international
supamen,Phat,Le,active,http://static.lolesports.com/players/1707175036125_TJO_VCT_BROADCAST_EG_Supamen_006.png,EG,"omen, astra, viper",5598.0,1.01,191.7,0.98,72%,123.3,0.68,0.32,0.07,0.09,31%,19%,FALSE,Male,United States,English,na,valorant champions international
dephh,Rory,Jackson,active,http://static.lolesports.com/players/silhouette.png,SEN,"astra, cypher, killjoy",5016.0,0.96,189.5,0.94,71%,124.1,0.66,0.27,0.1,0.1,25%,11%,FALSE,Male,United Kingdom,English,na,valorant champions international
Danii,Dani,Hashweh,active,,WHIT,"sova, breach, raze",443.0,0.63,144.7,0.58,58%,99.3,0.5,0.22,0.04,0.13,24%,3%,FALSE,Male,UNITED STATES,English,na,valorant champions international
penny,Erik,Penny,active,,G2,"jett, raze, chamber",6371.0,1.05,223.6,1.1,72%,142.3,0.78,0.23,0.14,0.13,21%,15%,FALSE,Male,Canada,English/French,na,valorant champions international
effys,Loic,Sauvageau,active,,SR,"sova, sage, breach",4431.0,1.03,187.7,1.01,75%,123.0,0.65,0.33,0.05,0.05,20%,16%,FALSE,Male,CANADA,English/French,na,valorant champions international
PA1NT,Amarri,Lee Andre Peak,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,BLIN,"jett, raze, neon",5726.0,1.07,243.5,1.11,70%,156.9,0.85,0.2,0.2,0.18,26%,15%,FALSE,Male,UNITED STATES,English,na,valorant champions international
Moose,Kaleb,Jayne,active,,C9,"killjoy, viper, cypher",8769.0,1.11,204,1.14,74%,135.1,0.72,0.26,0.09,0.07,24%,16%,FALSE,Male,Canada,English/French,na,valorant champions international
neT,Michael,Bernet,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,M80,"cypher, killjoy, viper",6759.0,0.97,195.5,1.02,70%,128.8,0.7,0.18,0.09,0.09,31%,12%,FALSE,Male,United States,English,na,valorant champions international
Jawgemo,Alexander,Mor,active,http://static.lolesports.com/players/1691658622034__0023_EG_Jawgemo_White_1500x1500_003.png,G2,"raze, jett, omen",5578.0,1.01,221.2,1.0,70%,143.1,0.75,0.27,0.13,0.14,20%,17%,FALSE,Male,Cambodia,Khmer,na,valorant champions international
stew,Park,Youngchan,active,http://static.lolesports.com/players/1707159097450_JDGstew.png,SFU.P,"jett, raze, neon",1544.0,0.98,183,0.98,72%,120.3,0.66,0.34,0.05,0.06,27%,13%,FALSE,Male,South Korea,Korean,na,valorant champions international
Jakee,Jake,Anderson,active,http://static.lolesports.com/players/1691058119551_C9_JAKEE.png,YFP,"omen, viper, jett",7400.0,1.01,208.9,1.0,71%,136.3,0.74,0.3,0.1,0.11,30%,19%,FALSE,Male,United States,English,na,valorant champions international
mummAy,Anthony,DiPaolo,active,http://static.lolesports.com/players/silhouette.png,FAIM,"jett, omen, astra",7172.0,0.98,191.8,1.02,70%,121.0,0.68,0.27,0.1,0.09,23%,15%,FALSE,Male,United States,English,na,valorant champions international
pl1xx,Christopher,Li,active,http://static.lolesports.com/players/1707160786991_WOLpl1xx.png,WOL,"raze, skye, sova",2495.0,1.04,219.1,1.06,72%,137.6,0.76,0.29,0.1,0.08,19%,14%,TRUE,Male,Australia,English,na|oce,valorant champions international
reformed,Jeffrey,Lu,active,http://static.lolesports.com/players/1691058221133_EG_REFORMED.png,EX-E,"killjoy, viper, cypher",5288.0,0.94,194.3,0.93,70%,129.1,0.68,0.26,0.08,0.09,22%,13%,FALSE,Male,Canada,English/French,na,valorant champions international
s0m,Sam,Oh,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NRG,"jett, omen, raze",6236.0,1.05,216.8,1.1,73%,137.7,0.77,0.26,0.12,0.11,25%,17%,FALSE,Male,United States,English,na,valorant champions international
skuba,Logan,Jenkins,active,http://static.lolesports.com/players/silhouette.png,OXG,"astra, viper, omen",7772.0,1.11,207.3,1.16,75%,133.4,0.75,0.33,0.07,0.07,28%,17%,FALSE,Male,United States,English,na,valorant champions international
mitch,Mitch,Semago,active,http://static.lolesports.com/players/1633548159256_silhouette.png,OXG,"killjoy, sage, breach",9140.0,1.02,200.3,1.01,75%,129.0,0.68,0.34,0.1,0.09,20%,16%,TRUE,Male,United States,English,na,valorant champions international
bang,Sean,Bezerra,active,http://static.lolesports.com/players/1707174458371_TJO_VCT_BROADCAST_100T_bang_007.png,SEN,"omen, viper, skye",6908.0,1.04,205,1.05,73%,131.6,0.73,0.31,0.1,0.09,33%,18%,FALSE,Male,United States,English,na,valorant champions international
Reformed,Jeffrey,Lu,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,EX-E,"killjoy, viper, cypher",5288.0,0.94,194.3,0.93,70%,129.1,0.68,0.26,0.08,0.09,22%,13%,FALSE,Male,Canada,English/French,na,valorant champions international
moose,Kaleb,Jayne,active,http://static.lolesports.com/players/1712218191526_SC_VCT_Broadcast_C9_Moose_004.png,C9,"killjoy, viper, cypher",8769.0,1.11,204,1.14,74%,135.1,0.72,0.26,0.09,0.07,24%,16%,FALSE,Male,Canada,English/French,na,valorant champions international
Screwface,Kyle,Jensen,active,http://static.lolesports.com/players/1686715176903_EG_SCREWFACE.png,AMB,"jett, raze, sova",8007.0,1.03,221.6,1.04,68%,141.3,0.77,0.21,0.16,0.14,20%,14%,FALSE,Male,United States,English,na,valorant champions international
Mitch,Mitch,Semago,active,http://static.lolesports.com/players/1633548159256_silhouette.png,OXG,"killjoy, sage, breach",9140.0,1.02,200.3,1.01,75%,129.0,0.68,0.34,0.1,0.09,20%,16%,TRUE,Male,United States,English,na,valorant champions international
murizzz,Murillo,Tuchtenhagen,active,,RETA,"sova, jett, skye",483.0,0.9,242.2,1.29,67%,143.0,0.88,0.18,0.18,0.1,17%,15%,TRUE,Male,Brazil,Portuguese,sa,valorant champions international
axeddy,Carlos,Galvao,active,http://static.lolesports.com/players/1691656895882__0067_KRU_axeddy_White_1500x1500_006.png,WTR,"raze, kayo, skye",368.0,0.83,178.4,0.79,68%,111.0,0.6,0.27,0.1,0.15,18%,23%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
Khalil,Khalil,Schimidt,active,,FUR,"omen, killjoy, cypher",480.0,,188.2,0.91,,120.2,0.64,0.26,0.08,0.06,17%,15%,FALSE,Male,BRAZIL,Portuguese,sa,valorant champions international
olzerr,lopez,omar,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,ZEN,"omen, cypher, astra",639.0,,170.6,0.83,,105.4,0.6,0.28,0.07,0.12,25%,14%,FALSE,Male,Chile,Spanish,sa,valorant champions international
kon4n,Vitor Hugo,Conceici? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1686715235344_FUR_KON4N.png,FUR,"raze, skye, sage",444.0,,216.1,1.13,,145.7,0.74,0.33,0.1,0.09,23%,13%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
Melser,Marco Eliot,Machuca Amaro,active,http://static.lolesports.com/players/1707175552754_SC_VCT_BROADCAST_KRU_Melser_001.png,KRï¿½ï¿½,"omen, astra, viper",246.0,,190.8,0.92,,128.6,0.69,0.21,0.08,0.1,20%,22%,FALSE,Male,Chile,Spanish,sa,valorant champions international
dgzin,Douglas,Silva,active,http://static.lolesports.com/players/1686715220377_FUR_DGZIN.png,HERO,"jett, raze, neon",440.0,1.06,246,1.17,71%,141.1,0.87,0.14,0.2,0.18,29%,24%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
delz1k,Joaqui? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,Espinoza Soto,active,,RETA,"omen, astra, brimstone",617.0,,239,1.07,,151.5,0.82,0.29,0.13,0.1,21%,14%,FALSE,Male,Chile,Spanish,sa,valorant champions international
wait,Hi? 1/2i? 1/2i? 1/2i? 1/2,Paucay,active,http://static.lolesports.com/players/1645670102617_silhouette_transparent.png,KRï¿½ï¿½,"sova, skye, sage",415.0,,228.9,0.99,,150.6,0.72,0.41,0.07,0.07,18%,18%,FALSE,Male,Chile,Spanish,sa,valorant champions international
leazo,Leandro,Liset,active,,KRï¿½ï¿½,"omen, brimstone, phoenix",539.0,0.7,173.1,0.9,72%,107.5,0.62,0.23,0.06,0.08,24%,14%,FALSE,Male,ARGENTINA,Spanish,sa,valorant champions international
Less,Felipe,Basso,active,,VIT,"killjoy, viper, cypher",437.0,0.94,191.8,0.91,66%,121.3,0.67,0.21,0.08,0.09,19%,11%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
Saadhak,Matias,Delipetro,active,,LOUD,"kayo, cypher, killjoy",500.0,,224.7,1.11,,147.1,0.76,0.33,0.13,0.1,20%,12%,TRUE,Male,Argentina,Spanish,sa,valorant champions international
tuyz,Arthur,Vieira,active,http://static.lolesports.com/players/1686715473377_LOUD_TUYZ.png,LOUD,"jett, raze, omen",1088.0,1.04,212.8,0.98,73%,136.9,0.71,0.24,0.11,0.1,21%,8%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
Tacolilla,Vicente,Compagnon,active,http://static.lolesports.com/players/1686715395638_LEV_TACOLILLA.png,RETA,"jett, chamber, raze",257.0,,239.2,1.25,,149.6,0.84,0.18,0.14,0.12,19%,12%,FALSE,Male,Chile,Spanish,sa,valorant champions international
aspas,Erick,Santos,active,http://static.lolesports.com/players/1707175680355_SC_VCT_BROADCAST_LEV_aspas_002.png,LEV,"jett, raze, reyna",205.0,,254.9,1.19,,159.3,0.89,0.21,0.16,0.13,26%,28%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
nzr,Agustin,Ibarra,active,http://static.lolesports.com/players/1677101955008_placeholder.png,FUR,"sova, skye, raze",500.0,,242.4,1.35,,152.2,0.84,0.34,0.09,0.06,19%,21%,FALSE,Male,ARGENTINA,Spanish,sa,valorant champions international
deNaro,Matheus,Hipolito,active,,RED,"sova, skye, fade",396.0,,205.7,1.03,,134.5,0.7,0.36,0.05,0.06,20%,29%,FALSE,Male,BRAZIL,Portuguese,sa,valorant champions international
v1xen,Gabriel,Martins,active,,NIP,"omen, viper, brimstone",631.0,1.22,193.4,1.16,85%,125.4,0.71,0.25,0.07,0.06,24%,14%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
TxoziN,Andri? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,Max Saidel,active,http://static.lolesports.com/players/1691057877826_MIBR_TXOZIN.png,MIBR,"omen, astra, killjoy",444.0,,172,0.93,,117.5,0.64,0.24,0.09,0.1,23%,15%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
RHZ,Igor,Lima,active,http://static.lolesports.com/players/1651686203601_silhouette_transparent1.png,AJF,"sova, skye, breach",474.0,1.0,201.3,1.02,65%,129.4,0.72,0.31,0.06,0.06,27%,10%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
Txddy,Sergio,Franscisco,active,,Peit,"cypher, killjoy, viper",557.0,,206.6,1.0,,125.2,0.73,0.2,0.08,0.08,22%,10%,FALSE,Male,BRAZIL,Portuguese,sa,valorant champions international
rhz,Igor,Lima,active,http://static.lolesports.com/players/1651686203601_silhouette_transparent1.png,AJF,"sova, skye, breach",474.0,1.0,201.3,1.02,65%,129.4,0.72,0.31,0.06,0.06,27%,10%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
adverso,Benjamin,Poblete,active,,AK,"sova, viper, breach",257.0,,205.6,1.14,,129.0,0.71,0.31,0.09,0.06,23%,19%,FALSE,Male,Chile,Spanish,sa,valorant champions international
Keznit,Angelo Alexander,Mori Lagos,active,http://static.lolesports.com/players/1678175715483_placeholder.png,KRï¿½ï¿½,"jett, raze, reyna",579.0,1.37,288.9,1.36,74%,173.9,0.99,0.27,0.24,0.15,22%,20%,FALSE,Male,CHILE,Spanish,sa,valorant champions international
Txozin,Andri? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,Max Saidel,active,,MIBR,"omen, astra, killjoy",444.0,,172,0.93,,117.5,0.64,0.24,0.09,0.1,23%,15%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
zombs,Jared,Gitlin,active,http://static.lolesports.com/players/silhouette.png,SEN,"omen, astra, brimstone",5565.0,0.92,172.7,0.9,74%,111.0,0.61,0.3,0.06,0.08,20%,14%,FALSE,Male,United States,English,na,valorant champions international
jawgemo,Alexander,Mor,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,G2,"raze, jett, omen",5578.0,1.01,221.2,1.0,70%,143.1,0.75,0.27,0.13,0.14,20%,17%,FALSE,Male,Cambodia,Khmer,na,valorant champions international
shroud,Michael,Grzesiek,active,,SEN,"viper, omen, brimstone",226.0,0.85,164.2,0.73,68%,105.1,0.53,0.37,0.07,0.08,33%,10%,FALSE,Male,Canada,English/French,na,valorant champions international
johnqt,Mohamed,Ouarid,active,http://static.lolesports.com/players/1707176549741_TJO_VCT_BROADCAST_SEN_johnqt_003.png,SEN,"chamber, killjoy, cypher",6339.0,1.07,194.5,1.12,76%,128.5,0.69,0.26,0.08,0.06,25%,18%,TRUE,Male,Morocco,Arabic,na,valorant champions international
Marved,Jimmy,Nguyen,active,http://static.lolesports.com/players/silhouette.png,NRG,"omen, astra, brimstone",6284.0,1.02,204.5,1.01,72%,132.4,0.72,0.29,0.1,0.1,29%,18%,FALSE,Male,Canada,English/French,na,valorant champions international
Leaf,Nathan,Orf,active,http://static.lolesports.com/players/1633547542777_silhouette.png,G2,"jett, raze, killjoy",7005.0,1.09,238.7,1.11,71%,153.7,0.82,0.23,0.18,0.16,23%,20%,FALSE,Male,United States,English,eu|na,valorant champions international
veroneze,Vinicius,Ribeiro,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,AJF,"jett, reyna, raze",368.0,,207.4,1.1,,127.6,0.78,0.14,0.14,0.11,28%,21%,FALSE,Male,BRAZIL,Portuguese,sa,valorant champions international
sacy,Gustavo,Rossi,active,https://lolstatic-a.akamaihd.net/esports-assets/production/player/sacyr-6isc6dvw.jpg,SEN,"sova, skye, fade",504.0,,250.5,1.3,,161.8,0.88,0.29,0.09,0.08,25%,13%,FALSE,Male,Brazil,Portuguese,na|sa,valorant champions international
pepA,Matheus,Coletto,active,,TDA,"omen, viper, astra",444.0,,202.1,0.97,,131.5,0.7,0.27,0.09,0.09,22%,25%,FALSE,Male,BRAZIL,Portuguese,sa,valorant champions international
Pollo,Julio,Bernardes,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,777,"jett, chamber, skye",649.0,1.0,217.5,1.02,62%,127.9,0.76,0.15,0.16,0.14,21%,14%,FALSE,Male,Brazil,Portuguese,sa,valorant champions international
WRONSKI,Michael Edward,Wronski,active,http://static.lolesports.com/players/1686711418566_Wronski.png,GE,"jett, reyna, chamber",2528.0,1.06,252,1.11,68%,158.0,0.87,0.17,0.21,0.19,28%,12%,FALSE,Male,Australia,English,oce,valorant champions international
Swerl,Swerl,Swerl,active,http://static.lolesports.com/players/1718882847882_Nova.Swerl26862.png,NOVA,"raze, jett, omen",2866.0,1.04,218.2,1.04,70%,143.3,0.75,0.26,0.11,0.12,28%,15%,FALSE,Male,Iran,Persian,oce,valorant champions international
Leare,Fletcher,Brigden-Knight,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,IGW,"jett, raze, chamber",2775.0,1.07,238.8,1.12,67%,150.8,0.85,0.14,0.17,0.14,26%,13%,FALSE,Male,United Kingdom,English,eu,valorant champions international
Ex6Tenz,Kevin,Droolans,active,http://static.lolesports.com/players/1709342573495_M8Coach-1.png,M8,"breach, brimstone, omen",1378.0,0.86,174,0.85,69%,109.5,0.6,0.28,0.06,0.09,24%,9%,FALSE,Male,BELGIUM,Dutch/French/German,eu,valorant champions international
Elite,Efe,Teber,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BBL,"killjoy, cypher, viper",2702.0,1.09,212,1.14,71%,140.2,0.76,0.18,0.08,0.07,38%,17%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Stix,Wojciech,Chamielec,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,INCO,"sova, viper, omen",5225.0,1.0,187,0.97,70%,125.4,0.66,0.29,0.06,0.07,28%,12%,FALSE,Male,Poland,Polish,eu,valorant champions international
ceNder,Joki? 1/2i? 1/2i? 1/2i? 1/2,Labutis,active,http://static.lolesports.com/players/1627374742002_placeholder.png,VIT,"breach, omen, cypher",5935.0,1.02,197.6,1.02,69%,127.7,0.7,0.28,0.09,0.1,28%,16%,TRUE,Male,Lithuania,Lithuanian,eu,valorant champions international
jeyj7y,Soner Eren,Kent,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,S2G,"sova, fade, breach",3987.0,0.91,183.3,0.88,72%,122.1,0.63,0.32,0.08,0.1,28%,19%,TRUE,Male,Turkey,Turkish,eu,valorant champions international
Ambi,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyytyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyypyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyn,Beri? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1627376605058_placeholder.png,VLNT,"jett, sova, raze",5378.0,1.02,209,1.04,73%,135.4,0.73,0.26,0.12,0.11,25%,15%,FALSE,Male,Czechia,Czech,eu,valorant champions international
Belmonte,Belmonte,Belmonte,active,http://static.lolesports.com/players/1682273313994_silhouette_transparent.png,ANM,"sova, omen, brimstone",587.0,0.79,150.6,0.72,62%,99.8,0.51,0.25,0.05,0.1,25%,13%,FALSE,Male,Poland,Polish,eu,valorant champions international
Lynxi,Felix,Bji? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,RBLS,"cypher, sova, breach",3788.0,0.96,169.2,0.9,73%,112.4,0.6,0.28,0.05,0.05,25%,12%,FALSE,Male,SWEDEN,Swedish,eu,valorant champions international
Michel,Michel,del castillo i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,LK,"jett, raze, neon",492.0,0.85,208.3,0.89,60%,138.9,0.75,0.16,0.14,0.24,28%,14%,FALSE,Male,SPAIN,Spanish,eu,valorant champions international
Coffee,Nikita,Antsypirovich,active,http://static.lolesports.com/players/1627381007481_placeholder.png,CG,"raze, skye, killjoy",3280.0,0.93,213.1,1.0,68%,135.9,0.72,0.23,0.13,0.14,21%,21%,FALSE,Male,Belarus,Belarusian/Russian,eu|mn,valorant champions international
Faska,Josi? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,Herni? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,LK,"viper, sova, cypher",551.0,0.89,180.7,0.83,67%,120.2,0.62,0.23,0.09,0.09,29%,3%,FALSE,Male,SPAIN,Spanish,eu,valorant champions international
Pukytoo,Octavio,Fine de Ci? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,LK,"jett, neon, fade",386.0,0.76,165.9,0.74,63%,107.1,0.58,0.27,0.11,0.11,27%,24%,FALSE,Male,Argentina,Spanish,eu,valorant champions international
p0wa77,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyzkan,Arslanti? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1627379353298_placeholder.png,S2G,"omen, astra, viper",2250.0,0.94,194.8,0.94,70%,129.4,0.69,0.26,0.08,0.09,32%,12%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
takej,Shogo,Takemori,active,,DFM,"reyna, phoenix, sage",2561.0,1.02,217.3,1.12,70%,136.8,0.77,0.25,0.12,0.1,31%,14%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Dep,Yuma,Hashimoto,active,,ZETA,"jett, raze, neon",4331.0,1.01,226.3,1.08,69%,141.4,0.8,0.2,0.14,0.13,25%,14%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Anthem,Yoshitaka,Enomoto,active,,DFM,"jett, skye, sova",1584.0,0.89,183.6,0.84,71%,125.2,0.63,0.28,0.08,0.11,25%,12%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Seoldam,Sangmin,Park,active,,RID,"jett, skye, gekko",1836.0,1.06,236.5,1.12,72%,143.7,0.82,0.2,0.19,0.14,21%,12%,FALSE,Male,South Korea,Korean,jp,valorant champions international
popogachi,Morita,Souta,active,,IGZ,"sova, fade, skye",2815.0,1.08,207.9,1.02,73%,142.1,0.7,0.36,0.07,0.07,23%,14%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Meiy,Seki,Ibuki,active,http://static.lolesports.com/players/1707180401779_05_profile_Meiy_0337.png,DFM,"jett, raze, skye",3512.0,1.09,233.7,1.13,72%,148.3,0.83,0.19,0.16,0.13,24%,17%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Yuran,Yushin,Hato,active,http://static.lolesports.com/players/1707181805540_65_ZETA_Yuran_200914.png,ZETA,"viper, sova, breach",814.0,0.86,174.1,0.77,69%,118.4,0.58,0.39,0.07,0.1,25%,8%,FALSE,Male,Japan,Japanese,jp,valorant champions international
Suggest,Seo,Jae-young,active,,DFM,"raze, breach, skye",504.0,1.03,215.8,0.98,72%,143.8,0.75,0.25,0.11,0.11,30%,5%,FALSE,Male,South Korea,Korean,jp,valorant champions international
xnfri,Moriya,Tomoki,active,http://static.lolesports.com/players/1691054965434_DFM_xnfri_001_NK.png,VL,"skye, raze, kayo",2362.0,0.96,187.4,0.92,70%,126.5,0.65,0.3,0.08,0.09,27%,16%,FALSE,Male,Japan,Japanese,jp,valorant champions international
