handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions
Teetawat,Teetawat,Teerayosyotin,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,47,"killjoy, omen, chamber",643,0.94,199,0.91,70%,134.8,0.69,0.21,0.09,0.1,27%,21%,FALSE,Male,THAILAND,Thai,
r3ason,Promsorn,Sutthiphong,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,(+3),"breach, sova, kayo",509,0.74,171.9,0.67,62%,112.3,0.57,0.37,0.08,0.11,22%,12%,FALSE,Male,THAILAND,Thai,
daynos,Jia Kyn,Au,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,AVM,"breach, omen, jett",720,0.92,180.7,0.85,67%,121.5,0.63,0.23,0.07,0.08,24%,19%,FALSE,Female,MALAYSIA,Malay,
123,Orgil,Otgonbayar,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,KBLD,"jett, raze, omen",427,1.12,252.1,1.11,68%,169,0.87,0.17,0.18,0.15,27%,24%,FALSE,Male,MALAYSIA,Malay,
Rapheleen,Radya,Ramadhanta,active,http://static.lolesports.com/players/1679563168476_placeholder.png,LCR,"sova, breach, killjoy",2226,0.93,199.8,0.91,70%,127.1,0.67,0.31,0.09,0.1,16%,15%,FALSE,Male,Indonesia,Indonesian,
rizkymd,TEUKU MUHAMMAD ,RIZKI,active,http://static.lolesports.com/players/1627631746146_1599762334741_silhouette.png,Bin,"omen, breach, skye",1780,0.94,187.1,0.94,74%,118.2,0.67,0.33,0.06,0.08,21%,15%,FALSE,Male,Indonesia,Indonesian,
BRYCE,Bryce,Lee,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,DSG,"astra, killjoy, viper",2918,0.99,192.3,0.97,70%,125.7,0.69,0.23,0.08,0.09,25%,11%,FALSE,Male,Singapore,English/Malay/Mandarin/Tamil,
miluan,Yo-Ting,Liu,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,S2,"viper, omen, astra",302,0.99,195.1,0.98,70%,132,0.69,0.26,0.07,0.09,30%,13%,FALSE,Female,TAIWAN,Mandarin,
umaruchans,Tanawish ,Tanawish ,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+1),"killjoy, skye, gekko",241,1.05,211.3,0.98,68%,143.4,0.75,0.19,0.08,0.06,34%,10%,FALSE,Male,THAILAND,Thai,
aplycs,Muhammad Aqil bin , Muhammad Azfar,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,RGE,"cypher, omen, killjoy",498,1,197.3,0.97,72%,134.4,0.69,0.29,0.07,0.07,30%,5%,FALSE,Male,Malaysia,Malay,
budimeisteR,Oliver ,Budi Wangge,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BTR,"omen, brimstone, viper",4848,1.01,193.1,1,73%,123.3,0.68,0.34,0.07,0.09,28%,16%,FALSE,Male,Indonesia,Indonesian,
Splash,Moses Christophe Jonathan,Jonathan,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,BBG,"raze, jett, iso",517,1.19,273.2,1.24,75%,179.4,0.94,0.21,0.22,0.14,25%,14%,FALSE,Male,Indonesia,Indonesian,
bobae,Nhat Nam,Truong,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+3),"skye, reyna, gekko",226,1,210.5,0.94,73%,134.6,0.72,0.33,0.09,0.06,25%,10%,FALSE,Male,VIETNAM,Vietnamese,
zini,Cruz,Nikaela Joyz,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,4F,"sova, kayo, breach",1588,0.91,173.2,0.83,72%,113.5,0.58,0.4,0.06,0.08,18%,12%,FALSE,Female,Philippines,Filipino/English,
hansia,Hoang Thuong,Nguyen,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+1),"raze, jett, kayo",265,0.91,205.8,0.91,62%,137.9,0.7,0.14,0.14,0.15,20%,14%,FALSE,Male,VIETNAM,Vietnamese,
LilBOii,Vishwaratn, Srivastava,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,MDL,"raze, jett, omen",463,0.84,185,0.78,62%,122.3,0.63,0.19,0.11,0.16,27%,9%,FALSE,Male,INDIA,Hindi/English,
